borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
BK,700000,1899.0,2075.0,3100.0,2066.0,1034.0,2.0,3.0,3.0,40.71285,-73.956404,4.0,S2,126.0
QN,815000,1955.0,2000.0,2035.0,1480.0,0.0,1.0,1.0,2.0,40.7361675,-73.900278,1.0,A5,70.0
QN,1130000,2013.0,1891.0,1696.0,1696.0,0.0,1.0,1.0,2.0,40.7304343,-73.8978691,1.0,A5,12.0
QN,700000,1935.0,1700.0,1064.0,1064.0,0.0,1.0,1.0,2.0,40.7323574,-73.8967693,1.0,A5,90.0
QN,400000,1935.0,1700.0,1064.0,1064.0,0.0,1.0,1.0,2.0,40.7323574,-73.8967693,1.0,A5,90.0
BK,999000,1899.0,2000.0,3200.0,2400.0,0.0,3.0,3.0,3.0,40.7107258,-73.9569897,2.0,C0,126.0
QN,642000,1955.0,2708.0,720.0,720.0,0.0,1.0,1.0,1.5,40.7365101,-73.8965463,1.0,A2,70.0
QN,956000,1935.0,2000.0,1520.0,1520.0,0.0,1.0,1.0,2.0,40.7381659,-73.8974206,1.0,A5,90.0
QN,980000,1965.0,1800.0,1798.0,1798.0,0.0,1.0,1.0,3.0,40.7381544,-73.8968397,1.0,A5,60.0
QN,760000,1940.0,1860.0,1260.0,720.0,0.0,1.0,1.0,1.0,40.7308786,-73.9180126,1.0,A5,85.0
QN,550000,1930.0,1650.0,2000.0,1288.0,0.0,1.0,1.0,2.0,40.7140879,-73.9059383,1.0,A5,95.0
QN,675000,1910.0,1300.0,1179.0,1179.0,0.0,1.0,1.0,2.0,40.7225367,-73.9098767,1.0,A1,115.0
QN,467000,1899.0,1080.0,1032.0,1032.0,0.0,1.0,1.0,2.0,40.7214987,-73.9127715,1.0,A5,126.0
QN,3000000,1920.0,2500.0,2240.0,1120.0,0.0,1.0,1.0,1.0,40.7198873,-73.9089893,1.0,A9,105.0
